112	299	606	739	842	1272	2434	2641	3214	3361	4440	4538	4701	4950	5028																																																																																																																																																																																																																																																																										
113	258	1119	2018	4136																																																																																																																																																																																																																																																																																				
114	432	690	998	1474	1570	2292	2426	2744	2913	3852																																																																																																																																																																																																																																																																														
115	149	175	203	291	468	507	526	561	569	637	676	731	742	933	1115	1164	1256	1334	1411	1441	1520	1522	1592	1740	1750	1786	1871	1885	1944	2058	2261	2350	2367	2418	2491	2536	2584	2609	2687	2737	2772	3161	3189	3229	3234	3236	3254	3352	3362	3505	3593	3687	3801	3828	3850	3996	4023	4120	4140	4326	4367	4387	4407	4534	4733	4795	4798	4909	4959	5038	5082	70																																																																																																																																																																																																																
116	1124	1863	2219	2500	3661																																																																																																																																																																																																																																																																																			
117	3019																																																																																																																																																																																																																																																																																							
118	137	201	281	380	640	707	1124	1263	1401	1457	1467	1570	1709	1789	1837	1876	2041	2119	2235	2262	2289	2622	3010	3325	3356	3573	3682	3720	4527	4826	4861																																																																																																																																																																																																																																																									
119	2001																																																																																																																																																																																																																																																																																							
120	258	1557	1637	1950	3257	3273	3610	3621	3734	3887	3903	3924	3993	4358	4897																																																																																																																																																																																																																																																																									
121	3988	5070																																																																																																																																																																																																																																																																																						
122	1074	1473	1520	3996																																																																																																																																																																																																																																																																																				
123	258	261	639	2457	2840	3985	4143	4225	4319	4555																																																																																																																																																																																																																																																																														
124	175	361	488	819	981	1084	1085	1592	1881	3896	4288	4306	4749																																																																																																																																																																																																																																																																											
125	182	2671	2719	3996	4293	98																																																																																																																																																																																																																																																																																		
126	465	931	989	1067	1183	1450	1831	2489	2533	2625	2787	3060	3284	3507	3548	3653	3903	4136	4502	4611	5011	94																																																																																																																																																																																																																																																																		
127	201	616	630	1008	1124	1128	1290	1475	1550	1636	1665	2041	2292	2387	2594	2758	2763	2966	3010	3277	3374	3643	3653	3728	4206	4293	4346	4358	4473	4503	4587	4663	4696	4756	4819	4920	5020																																																																																																																																																																																																																																																			
128	1075	1144	1297	1854	2676	3808	4264	5056																																																																																																																																																																																																																																																																																
129	566	608	719	751	1321	1405	2292	2312	5014																																																																																																																																																																																																																																																																															
